filename,mgs_reviewer1,mgs_reviewer2,mgs_reviewer3,mgs_reviewer4,mgs_reviewer5,mgs_reviewer6,mgs_reviewer7,mgs_reviewer8,mgs_reviewer9,mgs_reviewer10,mgs_reviewer11,mgs_mean,label
mr_DSC_3771.JPG,1.2,1.6,,,,,,,,,,1.4,1
mr_DSC_3772.JPG,0.8,1.6,,,,,,,,,,1.2000000000000002,1
mr_DSC_3776.JPG,1.4,1.4,,,,,,,,,,1.4,1
mr_DSC_3777.JPG,1.2,1.4,,,,,,,,,,1.2999999999999998,1
mr_DSC_3783.JPG,1.4,2.0,,,,,,,,,,1.7,1
mr_DSC_3784.JPG,1.2,1.4,,,,,,,,,,1.2999999999999998,1
mr_DSC_3786.JPG,1.2,1.4,,,,,,,,,,1.2999999999999998,1
mr_DSC_3788.JPG,1.2,1.4,,,,,,,,,,1.2999999999999998,1
mr_DSC_3802.JPG,1.2,1.4,,,,,,,,,,1.2999999999999998,1
mr_DSC_2725.JPG,0.4,1.2,,,,,,,,,,0.8,1
mr_DSC_2733.JPG,0.6,1.2,,,,,,,,,,0.8999999999999999,1
mr_DSC_2735.JPG,0.8,1.0,,,,,,,,,,0.9,1
mr_DSC_2740.JPG,0.2,1.0,,,,,,,,,,0.6,1
mr_DSC_2745.JPG,0.6,1.2,,,,,,,,,,0.8999999999999999,1
mr_DSC_2748.JPG,0.4,0.6,,,,,,,,,,0.5,0
mr_DSC_2751.JPG,0.4,0.8,,,,,,,,,,0.6000000000000001,1
mr_DSC_2753.JPG,0.2,0.8,,,,,,,,,,0.5,0
mr_DSC_2754.JPG,0.2,0.8,,,,,,,,,,0.5,0
mr_DSC_2757.JPG,0.4,1.2,,,,,,,,,,0.8,1
mr_DSC_3282.JPG,1.2,0.8,,,,,,,,,,1.0,1
mr_DSC_3294.JPG,1.6,1.4,,,,,,,,,,1.5,1
mr_DSC_3298.JPG,1.4,1.0,,,,,,,,,,1.2,1
mr_DSC_3299.JPG,1.2,1.6,,,,,,,,,,1.4,1
mr_DSC_3307.JPG,1.2,1.4,,,,,,,,,,1.2999999999999998,1
mr_DSC_3310.JPG,1.0,1.0,,,,,,,,,,1.0,1
mr_DSC_3312.JPG,0.8,1.0,,,,,,,,,,0.9,1
mr_DSC_4374.JPG,0.8,1.0,,,,,,,,,,0.9,1
