index,id,time,experiment,control
lw_1-10a.JPG,50,h,,
lw_1-10b.JPG,50,h,,
lw_1-10c.JPG,50,h,,
lw_1-11a.JPG,54,m,,
lw_1-11b.JPG,54,m,,
lw_1-11c.JPG,54,m,,
lw_1-12a.JPG,47,h,,
lw_1-12b.JPG,47,h,,
lw_1-12c.JPG,47,h,,
lw_1-13a.JPG,58,m,,
lw_1-13b.JPG,58,m,,
lw_1-13c.JPG,58,m,,
lw_1-14a.JPG,55,m,,
lw_1-14b.JPG,55,m,,
lw_1-14c.JPG,55,m,,
lw_1-15a.JPG,45,h,,
lw_1-15b.JPG,45,h,,
lw_1-15c.JPG,45,h,,
lw_1-16a.JPG,41,h,,
lw_1-16b.JPG,41,h,,
lw_1-16c.JPG,41,h,,
lw_1-17a.JPG,48,h,,
lw_1-17b.JPG,48,h,,
lw_1-17c.JPG,48,h,,
lw_1-18a.JPG,52,m,,
lw_1-18b.JPG,52,m,,
lw_1-18c.JPG,52,m,,
lw_1-19a.JPG,51,m,,
lw_1-19b.JPG,51,m,,
lw_1-19c.JPG,51,m,,
lw_1-1a.JPG,44,h,,
lw_1-1b.JPG,44,h,,
lw_1-1c.JPG,44,h,,
lw_1-20a.JPG,60,m,,
lw_1-20b.JPG,60,m,,
lw_1-20c.JPG,60,m,,
lw_1-2a.JPG,43,h,,
lw_1-2b.JPG,43,h,,
lw_1-2c.JPG,43,h,,
lw_1-3a.JPG,56,m,,
lw_1-3b.JPG,56,m,,
lw_1-3c.JPG,56,m,,
lw_1-4a.JPG,49,h,,
lw_1-4b.JPG,49,h,,
lw_1-4c.JPG,49,h,,
lw_1-5a.JPG,42,h,,
lw_1-5b.JPG,42,h,,
lw_1-5c.JPG,42,h,,
lw_1-6a.JPG,59,m,,
lw_1-6b.JPG,59,m,,
lw_1-6c.JPG,59,m,,
lw_1-7a.JPG,57,m,,
lw_1-7b.JPG,57,m,,
lw_1-7c.JPG,57,m,,
lw_1-8a.JPG,46,h,,
lw_1-8b.JPG,46,h,,
lw_1-8c.JPG,46,h,,
lw_1-9a.JPG,53,m,,
lw_1-9b.JPG,53,m,,
lw_1-9c.JPG,53,m,,
lw_11-10a.JPG,91,n,,
lw_11-10b.JPG,91,n,,
lw_11-10c.JPG,91,n,,
lw_11-11a.JPG,86,i,,
lw_11-11b.JPG,86,i,,
lw_11-11c.JPG,86,i,,
lw_11-12a.JPG,93,n,,
lw_11-12b.JPG,93,n,,
lw_11-12c.JPG,93,n,,
lw_11-13a.JPG,99,n,,
lw_11-13b.JPG,99,n,,
lw_11-13c.JPG,99,n,,
lw_11-14a.JPG,95,n,,
lw_11-14b.JPG,95,n,,
lw_11-14c.JPG,95,n,,
lw_11-15a.JPG,87,i,,
lw_11-15b.JPG,87,i,,
lw_11-15c.JPG,87,i,,
lw_11-16a.JPG,94,n,,
lw_11-16b.JPG,94,n,,
lw_11-16c.JPG,94,n,,
lw_11-17a.JPG,98,n,,
lw_11-17b.JPG,98,n,,
lw_11-17c.JPG,98,n,,
lw_11-18a.JPG,85,i,,
lw_11-18b.JPG,85,i,,
lw_11-18c.JPG,85,i,,
lw_11-20a.JPG,89,i,,
lw_11-20b.JPG,89,i,,
lw_11-20c.JPG,89,i,,
lw_11-2a.JPG,92,n,,
lw_11-2b.JPG,92,n,,
lw_11-2c.JPG,92,n,,
lw_11-3a.JPG,93,n,,
lw_11-3b.JPG,93,n,,
lw_11-3c.JPG,93,n,,
lw_11-4a.JPG,82,i,,
lw_11-4b.JPG,82,i,,
lw_11-4c.JPG,82,i,,
lw_11-5a.JPG,81,i,,
lw_11-5b.JPG,81,i,,
lw_11-5c.JPG,81,i,,
lw_11-6a.JPG,88,i,,
lw_11-6b.JPG,88,i,,
lw_11-6c.JPG,88,i,,
lw_11-7a.JPG,97,n,,
lw_11-7b.JPG,97,n,,
lw_11-7c.JPG,97,n,,
lw_11-8a.JPG,90,i,,
lw_11-8b.JPG,90,i,,
lw_11-8c.JPG,90,i,,
lw_11-9a.JPG,100,n,,
lw_11-9b.JPG,100,n,,
lw_11-9c.JPG,100,n,,
lw_12-12a.JPG,19,g,,
lw_12-12b.JPG,19,g,,
lw_12-12c.JPG,19,g,,
lw_12-13a.JPG,4,l,,
lw_12-13b.JPG,4,l,,
lw_12-13c.JPG,4,l,,
lw_12-14a.JPG,12,g,,
lw_12-14b.JPG,12,g,,
lw_12-14c.JPG,12,g,,
lw_12-15a.JPG,17,g,,
lw_12-15b.JPG,17,g,,
lw_12-15c.JPG,17,g,,
lw_12-16a.JPG,14,g,,
lw_12-16b.JPG,14,g,,
lw_12-16c.JPG,14,g,,
lw_12-18a.JPG,18,g,,
lw_12-18b.JPG,18,g,,
lw_12-18c.JPG,18,g,,
lw_12-1a.JPG,20,g,,
lw_12-1b.JPG,20,g,,
lw_12-1c.JPG,20,g,,
lw_12-20a.JPG,1,l,,
lw_12-20b.JPG,1,l,,
lw_12-20c.JPG,1,l,,
lw_12-2a.JPG,15,g,,
lw_12-2b.JPG,15,g,,
lw_12-2c.JPG,15,g,,
lw_12-3a.JPG,5,l,,
lw_12-3b.JPG,5,l,,
lw_12-3c.JPG,5,l,,
lw_12-4a.JPG,2,l,,
lw_12-4b.JPG,2,l,,
lw_12-4c.JPG,2,l,,
lw_12-7a.JPG,3,l,,
lw_12-7b.JPG,3,l,,
lw_12-7c.JPG,3,l,,
lw_12-8a.JPG,16,g,,
lw_12-8b.JPG,16,g,,
lw_12-8c.JPG,16,g,,
lw_12-9a.JPG,11,g,,
lw_12-9b.JPG,11,g,,
lw_12-9c.JPG,11,g,,
lw_13-10a.jpg,50,j,,
lw_13-10b.jpg,50,j,,
lw_13-10c.jpg,50,j,,
lw_13-11a.jpg,54,o,,
lw_13-11b.jpg,54,o,,
lw_13-11c.jpg,54,o,,
lw_13-12a.jpg,47,j,,
